Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Smooth Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Rail
minecraft:stone_stairs, Cobblestone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence:0, Oak Fence
minecraft:fence:1, Spruce Fence
minecraft:fence:2, Birch Fence
minecraft:fence:3, Jungle Fence
minecraft:fence:4, Acacia Fence
minecraft:fence:5, Dark Oak Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Oak Trapdoor
minecraft:monster_egg:0, Silverfish Block
minecraft:monster_egg:1, Silverfish Block
minecraft:monster_egg:2, Silverfish Block
minecraft:monster_egg:3, Silverfish Block
minecraft:monster_egg:4, Silverfish Block
minecraft:monster_egg:5, Silverfish Block
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, tile.null.name
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Rail
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
KoRIN-Bluebadrock:bluebedrock, tile.Bluebedrock.name
securitycraft:laserBlock, Laser Block 
securitycraft:laser, Laser 
securitycraft:keypad, Keypad
securitycraft:mine, Mine
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
securitycraft:mineCut, tile.securitycraft:mineCut.name
securitycraft:dirtMine, Dirt Mine
securitycraft:stoneMine, Stone Mine
securitycraft:cobblestoneMine, Cobblestone Mine
securitycraft:diamondMine, Diamond Ore Mine
securitycraft:sandMine, Sand Mine
securitycraft:furnaceMine, Furnace Mine
securitycraft:retinalScanner, Retinal Scanner
securitycraft:ironDoorReinforced, Reinforced Door
securitycraft:bogusLava, Fake Lava
securitycraft:bogusLavaFlowing, tile.securitycraft:bogusLavaFlowing.name
securitycraft:bogusWater, Fake Water
securitycraft:bogusWaterFlowing, tile.securitycraft:bogusWaterFlowing.name
securitycraft:keycardReader, Keycard Reader
securitycraft:ironTrapdoor, Iron Trapdoor
securitycraft:bouncingBetty, Bouncing Betty
securitycraft:inventoryScanner, Inventory Scanner
securitycraft:inventoryScannerField, Inventory Scanner Field
securitycraft:trackMine, Track Mine
securitycraft:cageTrap, Cage Trap
securitycraft:portableRadar, Portable Radar
securitycraft:deactivatedCageTrap, Deactivated Cage Trap
securitycraft:reinforcedStone, Reinforced Stone
securitycraft:keypadChest, Password-protected Chest
securitycraft:usernameLogger, Username Logger
securitycraft:reinforcedGlass, Reinforced Glass Pane
securitycraft:alarm, Alarm
securitycraft:alarmLit, tile.securitycraft:alarmLit.name
securitycraft:reinforcedIronBars, Reinforced Iron Bars
securitycraft:reinforcedSandstone:0, Reinforced Sandstone
securitycraft:reinforcedSandstone:1, Reinforced Chiseled Sandstone
securitycraft:reinforcedSandstone:2, Reinforced Smooth Sandstone
securitycraft:reinforcedDirt, Reinforced Dirt
securitycraft:reinforcedCobblestone, Reinforced Cobblestone
securitycraft:reinforcedFenceGate, Electrified Iron Fence Gate
securitycraft:reinforcedPlanks:0, Reinforced Oak Planks
securitycraft:reinforcedPlanks:1, Reinforced Spruce Planks
securitycraft:reinforcedPlanks:2, Reinforced Birch Planks
securitycraft:reinforcedPlanks:3, Reinforced Jungle Planks
securitycraft:reinforcedPlanks:4, Reinforced Acacia Planks
securitycraft:reinforcedPlanks:5, Reinforced Dark Oak Planks
securitycraft:panicButton, Panic Button
securitycraft:keypadFrame, Frame
securitycraft:claymoreActive, Claymore
securitycraft:claymoreDefused, Claymore
securitycraft:keypadFurnace, Password-protected Furnace
securitycraft:securityCamera, Security Camera
securitycraft:reinforcedStairsOak, Reinforced Oak Stairs
securitycraft:reinforcedStairsSpruce, Reinforced Spruce Stairs
securitycraft:reinforcedStairsBirch, Reinforced Birch Stairs
securitycraft:reinforcedStairsJungle, Reinforced Jungle Stairs
securitycraft:reinforcedStairsAcacia, Reinforced Acacia Stairs
securitycraft:reinforcedStairsDarkoak, Reinforced Dark Oak Stairs
securitycraft:reinforcedStairsStone, Reinforced Stone Stairs
securitycraft:reinforcedStairsCobblestone, Reinforced Cobblestone Stairs
securitycraft:reinforcedStairsSandstone, Reinforced Sandstone Stairs
securitycraft:scIronFence, Electrified Iron Fence
securitycraft:ims, Intelligent Munitions System 
securitycraft:reinforcedGlassBlock, Reinforced Glass
securitycraft:reinforcedStainedGlass:0, Reinforced White Stained Glass
securitycraft:reinforcedStainedGlass:1, Reinforced Orange Stained Glass
securitycraft:reinforcedStainedGlass:2, Reinforced Magenta Stained Glass
securitycraft:reinforcedStainedGlass:3, Reinforced Light Blue Stained Glass
securitycraft:reinforcedStainedGlass:4, Reinforced Yellow Stained Glass
securitycraft:reinforcedStainedGlass:5, Reinforced Lime Stained Glass
securitycraft:reinforcedStainedGlass:6, Reinforced Pink Stained Glass
securitycraft:reinforcedStainedGlass:7, Reinforced Gray Stained Glass
securitycraft:reinforcedStainedGlass:8, Reinforced Light Gray Stained Glass
securitycraft:reinforcedStainedGlass:9, Reinforced Cyan Stained Glass
securitycraft:reinforcedStainedGlass:10, Reinforced Purple Stained Glass
securitycraft:reinforcedStainedGlass:11, Reinforced Blue Stained Glass
securitycraft:reinforcedStainedGlass:12, Reinforced Brown Stained Glass
securitycraft:reinforcedStainedGlass:13, Reinforced Green Stained Glass
securitycraft:reinforcedStainedGlass:14, Reinforced Red Stained Glass
securitycraft:reinforcedStainedGlass:15, Reinforced Black Stained Glass
securitycraft:reinforcedStainedGlassPanes:0, Reinforced White Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:1, Reinforced Orange Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:2, Reinforced Magenta Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:3, Reinforced Light Blue Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:4, Reinforced Yellow Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:5, Reinforced Lime Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:6, Reinforced Pink Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:7, Reinforced Gray Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:8, Reinforced Light Gray Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:9, Reinforced Cyan Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:10, Reinforced Purple Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:11, Reinforced Blue Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:12, Reinforced Brown Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:13, Reinforced Green Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:14, Reinforced Red Stained Glass Pane
securitycraft:reinforcedStainedGlassPanes:15, Reinforced Black Stained Glass Pane
securitycraft:reinforcedWoodSlabs:0, Reinforced Oak Wood Slab
securitycraft:reinforcedWoodSlabs:1, Reinforced Spruce Wood Slab
securitycraft:reinforcedWoodSlabs:2, Reinforced Birch Wood Slab
securitycraft:reinforcedWoodSlabs:3, Reinforced Jungle Wood Slab
securitycraft:reinforcedWoodSlabs:4, Reinforced Acacia Wood Slab
securitycraft:reinforcedWoodSlabs:5, Reinforced Dark Oak Wood Slab
securitycraft:reinforcedStoneSlabs:0, Reinforced Stone Slab
securitycraft:reinforcedStoneSlabs:1, Reinforced Cobblestone Slab
securitycraft:reinforcedStoneSlabs:2, Reinforced Sandstone Slab
securitycraft:reinforcedStoneSlabs:4, Reinforced Stone Bricks Slab
securitycraft:reinforcedStoneSlabs:5, Reinforced Brick Slab
securitycraft:reinforcedStoneSlabs:6, Reinforced Nether Brick Slab
securitycraft:reinforcedStoneSlabs:7, Reinforced Quartz Slab
securitycraft:reinforcedDirtSlab:3, Reinforced Dirt Slab
securitycraft:reinforcedDoubleWoodSlabs, tile.securitycraft:reinforcedDoubleWoodSlabs.name
securitycraft:reinforcedDoubleStoneSlabs, tile.securitycraft:reinforcedDoubleStoneSlabs.name
securitycraft:reinforcedDoubleDirtSlab, tile.securitycraft:reinforcedDoubleDirtSlab.name
securitycraft:protecto, Protecto
securitycraft:scannerDoor, Scanner Door
securitycraft:reinforcedStoneBrick:0, Reinforced Stone Bricks
securitycraft:reinforcedStoneBrick:1, Reinforced Mossy Stone Bricks
securitycraft:reinforcedStoneBrick:2, Reinforced Cracked Stone Bricks
securitycraft:reinforcedStoneBrick:3, Reinforced Chiseled Stone Bricks
securitycraft:reinforcedStairsStoneBrick, Reinforced Stone Brick Stairs
securitycraft:reinforcedStairsQuartz, Reinforced Quartz Stairs
securitycraft:reinforcedMossyCobblestone, Reinforced Moss Stone
securitycraft:reinforcedBrick, Reinforced Bricks
securitycraft:reinforcedStairsBrick, Reinforced Brick Stairs
securitycraft:reinforcedNetherBrick, Reinforced Nether Brick
securitycraft:reinforcedStairsNetherBrick, Reinforced Nether Brick Stairs
securitycraft:reinforcedHardenedClay, Reinforced Hardened Clay
securitycraft:reinforcedStainedHardenedClay:0, Reinforced White Stained Clay
securitycraft:reinforcedStainedHardenedClay:1, Reinforced Orange Stained Clay
securitycraft:reinforcedStainedHardenedClay:2, Reinforced Magenta Stained Clay
securitycraft:reinforcedStainedHardenedClay:3, Reinforced Light Blue Stained Clay
securitycraft:reinforcedStainedHardenedClay:4, Reinforced Yellow Stained Clay
securitycraft:reinforcedStainedHardenedClay:5, Reinforced Lime Stained Clay
securitycraft:reinforcedStainedHardenedClay:6, Reinforced Pink Stained Clay
securitycraft:reinforcedStainedHardenedClay:7, Reinforced Gray Stained Clay
securitycraft:reinforcedStainedHardenedClay:8, Reinforced Light Gray Stained Clay
securitycraft:reinforcedStainedHardenedClay:9, Reinforced Cyan Stained Clay
securitycraft:reinforcedStainedHardenedClay:10, Reinforced Purple Stained Clay
securitycraft:reinforcedStainedHardenedClay:11, Reinforced Blue Stained Clay
securitycraft:reinforcedStainedHardenedClay:12, Reinforced Brown Stained Clay
securitycraft:reinforcedStainedHardenedClay:13, Reinforced Green Stained Clay
securitycraft:reinforcedStainedHardenedClay:14, Reinforced Red Stained Clay
securitycraft:reinforcedStainedHardenedClay:15, Reinforced Black Stained Clay
securitycraft:reinforcedLogs:0, Reinforced Oak Wood
securitycraft:reinforcedLogs:1, Reinforced Spruce Wood
securitycraft:reinforcedLogs:2, Reinforced Birch Wood
securitycraft:reinforcedLogs:3, Reinforced Jungle Wood
securitycraft:reinforcedLogs2:0, Reinforced Acacia Wood
securitycraft:reinforcedLogs2:1, Reinforced Dark Oak Wood
securitycraft:reinforcedMetals:0, Reinforced Block of Gold
securitycraft:reinforcedMetals:1, Reinforced Block of Iron
securitycraft:reinforcedMetals:2, Reinforced Block of Diamond
securitycraft:reinforcedMetals:3, Reinforced Block of Emerald
securitycraft:reinforcedCompressedBlocks:0, Reinforced Lapis Lazuli Block
securitycraft:reinforcedCompressedBlocks:1, Reinforced Block of Coal
securitycraft:reinforcedWool:0, Reinforced Wool
securitycraft:reinforcedWool:1, Reinforced Orange Wool
securitycraft:reinforcedWool:2, Reinforced Magenta Wool
securitycraft:reinforcedWool:3, Reinforced Light Blue Wool
securitycraft:reinforcedWool:4, Reinforced Yellow Wool
securitycraft:reinforcedWool:5, Reinforced Lime Wool
securitycraft:reinforcedWool:6, Reinforced Pink Wool
securitycraft:reinforcedWool:7, Reinforced Gray Wool
securitycraft:reinforcedWool:8, Reinforced Light Gray Wool
securitycraft:reinforcedWool:9, Reinforced Cyan Wool
securitycraft:reinforcedWool:10, Reinforced Purple Wool
securitycraft:reinforcedWool:11, Reinforced Blue Wool
securitycraft:reinforcedWool:12, Reinforced Brown Wool
securitycraft:reinforcedWool:13, Reinforced Green Wool
securitycraft:reinforcedWool:14, Reinforced Red Wool
securitycraft:reinforcedWool:15, Reinforced Black Wool
securitycraft:reinforcedQuartz:0, Reinforced Block of Quartz
securitycraft:reinforcedQuartz:1, Reinforced Chiseled Quartz Block
securitycraft:reinforcedQuartz:2, Reinforced Pillar Quartz Block
securitycraft:secretSignWall, tile.securitycraft:secretSign.name
securitycraft:secretSignStanding, tile.securitycraft:secretSign.name
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Shortbow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Oak Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Minecart with Chest
minecraft:furnace_minecart, Minecart with Furnace
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Wooden Fishing Rod
minecraft:clock, Clock
minecraft:glowstone_dust, Glowstone Dust
minecraft:fish:0, Raw Fish
minecraft:fish:1, Raw Salmon
minecraft:fish:2, Clownfish
minecraft:fish:3, Pufferfish
minecraft:cooked_fished:0, Cooked Fish
minecraft:cooked_fished:1, Cooked Salmon
minecraft:dye:0, Ink Sac
minecraft:dye:1, Red Dye
minecraft:dye:2, Green Dye
minecraft:dye:3, Cocoa Beans
minecraft:dye:4, Lapis Lazuli
minecraft:dye:5, Purple Dye
minecraft:dye:6, Cyan Dye
minecraft:dye:7, Light Gray Dye
minecraft:dye:8, Gray Dye
minecraft:dye:9, Pink Dye
minecraft:dye:10, Lime Dye
minecraft:dye:11, Yellow Dye
minecraft:dye:12, Light Blue Dye
minecraft:dye:13, Magenta Dye
minecraft:dye:14, Orange Dye
minecraft:dye:15, Bone Meal
minecraft:bone, Bone
minecraft:sugar, Sugar
minecraft:cake, Cake
minecraft:bed, Bed
minecraft:repeater, Redstone Repeater
minecraft:cookie, Cookie
minecraft:filled_map:0, Map
minecraft:shears, Shears
minecraft:melon, Melon
minecraft:pumpkin_seeds, Pumpkin Seeds
minecraft:melon_seeds, Melon Seeds
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Rotten Flesh
minecraft:ender_pearl, Ender Pearl
minecraft:blaze_rod, Blaze Rod
minecraft:ghast_tear, Ghast Tear
minecraft:gold_nugget, Gold Nugget
minecraft:nether_wart, Nether Wart
minecraft:potion:0, Water Bottle
minecraft:potion:8193, Potion of Regeneration
minecraft:potion:8225, Potion of Regeneration
minecraft:potion:8257, Potion of Regeneration
minecraft:potion:16385, Splash Potion of Regeneration
minecraft:potion:16417, Splash Potion of Regeneration
minecraft:potion:16449, Splash Potion of Regeneration
minecraft:potion:8194, Potion of Swiftness
minecraft:potion:8226, Potion of Swiftness
minecraft:potion:8258, Potion of Swiftness
minecraft:potion:16386, Splash Potion of Swiftness
minecraft:potion:16418, Splash Potion of Swiftness
